Start,Type,Latency,Code
192528916,Get,175342875,200
193714041,Get,177072084,200
193636791,Get,177238583,200
193039500,Get,177803042,200
192504125,Get,178114000,200
137141916,Get,233091166,200
164750291,Get,205444625,200
193015833,Get,175382292,200
144997500,Get,223382625,200
192952500,Get,175296416,200
144938125,Get,227423334,200
192369958,Get,181851292,200
192996583,Get,182364042,200
139382750,Get,236028916,200
197549250,Get,180088042,200
193873375,Get,186359667,200
194383583,Get,185873250,200
193886208,Get,187889083,200
194473958,Get,187369250,200
137116000,Get,244776625,200
137119416,Get,244852417,200
196917208,Get,185094958,200
196805833,Get,185246125,200
189990833,Get,193532541,200
145004750,Get,238558792,200
165131791,Get,223362125,200
190924750,Get,205516375,200
138606791,Get,257940291,200
137130041,Get,259591417,200
190712916,Get,206175458,200
190452208,Get,207177416,200
194868916,Get,202799875,200
145016958,Get,252753541,200
141922458,Get,255895541,200
144923166,Get,252938041,200
139787583,Get,261848916,200
145014500,Get,256688709,200
196617250,Get,205162958,200
137073250,Get,264805208,200
132736041,Get,269991917,200
137041041,Get,265777750,200
197052833,Get,206034125,200
187703000,Get,220883708,200
192366125,Get,216358542,200
132903708,Get,275941792,200
150883625,Get,258039041,200
144920833,Get,264066125,200
193494125,Get,215530958,200
139030708,Get,270021000,200
195524958,Get,213471166,200
141645000,Get,267492208,200
138908375,Get,270202834,200
195469250,Get,217202334,200
197296083,Get,217740000,200
145000125,Get,270802417,200
132979041,Get,284249667,200
197872458,Get,219412083,200
137064541,Get,280196542,200
144941250,Get,272404708,200
197995708,Get,219419291,200
196886416,Get,220607417,200
193682833,Get,223837375,200
139576750,Get,277963625,200
133247958,Get,284373708,200
144933791,Get,272649333,200
194101875,Get,223598375,200
137088208,Get,280685416,200
197596958,Get,220239333,200
165197000,Get,252657000,200
139683416,Get,278210250,200
141845708,Get,278022250,200
138963708,Get,282716583,200
139524041,Get,282221333,200
137133750,Get,284696792,200
196743125,Get,225118917,200
132725833,Get,292245042,200
132763041,Get,292251333,200
194851916,Get,230204917,200
164837791,Get,260278583,200
139442916,Get,285724459,200
191952541,Get,233363875,200
137122750,Get,288280125,200
192513666,Get,232945208,200
196825166,Get,228725417,200
189861791,Get,239633208,200
144930750,Get,284599834,200
132420500,Get,297163875,200
197453041,Get,232162875,200
196877375,Get,232804333,200
192335208,Get,237427292,200
192307166,Get,240222542,200
137053166,Get,295529292,200
137138208,Get,295537458,200
196880000,Get,235886583,200
165577916,Get,267253125,200
191819583,Get,241051083,200
196573041,Get,236368958,200
189648500,Get,243385375,200
195279000,Get,237800375,200
197662625,Get,235515541,200
371372958,Get,80947416,200
371660375,Get,80732541,200
371907458,Get,80452291,200
371751125,Get,80707333,200
371586708,Get,82643291,200
377688125,Get,76618334,200
374290791,Get,79981875,200
370890750,Get,83516167,200
371432666,Get,83061417,200
371513000,Get,83058000,200
371812791,Get,82661167,200
380318375,Get,74358500,200
375458958,Get,79065083,200
375398333,Get,79963917,200
381927166,Get,73478250,200
371965541,Get,83496292,200
380275166,Get,75234041,200
372415208,Get,83824125,200
381877791,Get,76949208,200
382042833,Get,76854792,200
381818625,Get,77035417,200
382010583,Get,76953417,200
382080666,Get,76961125,200
383603875,Get,78061375,200
383559333,Get,78150666,200
388533666,Get,73879459,200
396485125,Get,69843250,200
396754750,Get,70568125,200
396581000,Get,71194209,200
396920958,Get,71594291,200
397802833,Get,71421250,200
397666958,Get,76555583,200
397902291,Get,76642042,200
397852208,Get,76505250,200
397718125,Get,76524042,200
401735666,Get,77078583,200
401907625,Get,77791417,200
402759458,Get,78327667,200
401669125,Get,79460125,200
402850583,Get,78411583,200
401812541,Get,81538375,200
409140041,Get,74394917,200
403118875,Get,81975542,200
409065458,Get,76053958,200
408628666,Get,76557292,200
409100166,Get,76073792,200
408954958,Get,76566542,200
408874666,Get,77549709,200
415080083,Get,71785375,200
408758625,Get,78180875,200
409200333,Get,78324791,200
409168416,Get,78419625,200
412702500,Get,75081709,200
409025875,Get,78865792,200
417377333,Get,73262084,200
417954666,Get,73124583,200
