Start,Type,Latency,Code
116784125,Get,200367791,200
117859084,Get,201284833,200
124735000,Get,194312167,200
116444917,Get,202569208,200
123134917,Get,194489917,200
127316959,Get,190235709,200
124817125,Get,192719834,200
116674250,Get,200837750,200
126643375,Get,192914417,200
125185625,Get,194336417,200
121898917,Get,197623125,200
123020125,Get,198079958,200
121754125,Get,199381542,200
123513917,Get,197704500,200
123757334,Get,197354333,200
124173209,Get,197030291,200
121861334,Get,199317791,200
121230167,Get,199933000,200
122741875,Get,199027625,200
121100584,Get,203669125,200
122528542,Get,202243458,200
116607042,Get,209247792,200
116628459,Get,209282500,200
124311167,Get,201632750,200
126143084,Get,199861250,200
123298125,Get,203238625,200
126036542,Get,200581833,200
125755875,Get,201554833,200
125937375,Get,204383250,200
119729250,Get,210591500,200
122930292,Get,208700042,200
122835875,Get,209720334,200
121189667,Get,211950750,200
126189000,Get,207006625,200
127361125,Get,205933417,200
124450375,Get,215854250,200
121771209,Get,218683167,200
123717667,Get,217621500,200
121215417,Get,220236667,200
125837542,Get,215780083,200
121798459,Get,219629875,200
121919500,Get,219455292,200
124416417,Get,217301791,200
124516750,Get,217172583,200
117658292,Get,223993459,200
120001292,Get,221605625,200
119589042,Get,222001958,200
124721000,Get,216857584,200
121116917,Get,220413250,200
125256584,Get,216255500,200
120287250,Get,223540167,200
116529375,Get,227329333,200
126604500,Get,217302583,200
125374750,Get,218578750,200
116888792,Get,227109292,200
123339917,Get,220695667,200
127140125,Get,216960875,200
125678417,Get,218429500,200
116513250,Get,227653084,200
121891417,Get,223935000,200
122692750,Get,223658292,200
125664459,Get,220720958,200
124621542,Get,222384875,200
120224209,Get,227326958,200
319932834,Get,138936000,200
327359209,Get,131509666,200
319732750,Get,141010208,200
319829875,Get,141087834,200
330416459,Get,130517833,200
320075250,Get,140801708,200
333241500,Get,127628167,200
319299417,Get,141562209,200
342092000,Get,118942417,200
321424167,Get,141564708,200
325911792,Get,137082000,200
321290750,Get,141773375,200
333328959,Get,129805708,200
341617459,Get,122648541,200
321806250,Get,142490292,200
341743875,Get,122721041,200
320124709,Get,144339750,200
342207750,Get,122278041,200
344027292,Get,121043958,200
325969542,Get,139156083,200
319774667,Get,145401667,200
341795584,Get,123579250,200
324992209,Get,140625083,200
326718667,Get,138866417,200
344190250,Get,121367833,200
319673875,Get,145862958,200
340710167,Get,124806333,200
321384417,Get,144108041,200
343944000,Get,121526000,200
346388750,Get,119051375,200
319875292,Get,145861333,200
326084042,Get,139618333,200
342308625,Get,123360500,200
343867834,Get,122390250,200
320006209,Get,146281000,200
341864750,Get,123803625,200
341928875,Get,124405750,200
319968917,Get,146357625,200
342250292,Get,124065000,200
341448792,Get,124828292,200
342006834,Get,124223666,200
341675167,Get,124537250,200
342140292,Get,124049834,200
321252125,Get,144917750,200
321211292,Get,144940875,200
333183459,Get,133357875,200
343979625,Get,122524917,200
330487542,Get,135992000,200
345872125,Get,120588459,200
343902250,Get,122537208,200
332613125,Get,133809125,200
340569209,Get,125823000,200
344153417,Get,122208125,200
326603792,Get,141327875,200
321326584,Get,146641083,200
