Start,Type,Latency,Code
144331209,Get,170275459,200
143055084,Get,173021459,200
158676792,Get,156699333,200
142675209,Get,172380292,200
157015792,Get,157674250,200
156953334,Get,157708500,200
142216500,Get,178189583,200
147696875,Get,174154042,200
142550875,Get,179509917,200
144213292,Get,177860084,200
144995042,Get,177243416,200
145541417,Get,177062917,200
170087000,Get,169787959,200
178289625,Get,166449792,200
178291125,Get,166477791,200
172776375,Get,172168333,200
170199000,Get,174927958,200
177711625,Get,167454625,200
170114542,Get,181621542,200
178554834,Get,174147125,200
176159334,Get,176449875,200
178393750,Get,173839709,200
172851709,Get,179338917,200
176071084,Get,175829917,200
178542000,Get,173312416,200
177847459,Get,173993125,200
178356792,Get,173438750,200
178355334,Get,178376417,200
178355625,Get,178567667,200
178377125,Get,178700584,200
169048959,Get,188678875,200
170068417,Get,196290750,200
318152417,Get,82325417,200
321823750,Get,79394958,200
320101500,Get,81479250,200
321919542,Get,81894250,200
318274250,Get,86544750,200
322933375,Get,83177708,200
317733000,Get,88706667,200
321700750,Get,85923708,200
322136709,Get,85692625,200
321994709,Get,86639125,200
322208417,Get,87246208,200
322322875,Get,88719000,200
340093834,Get,71735084,200
344917375,Get,71193667,200
344837959,Get,72034125,200
345037584,Get,72248750,200
345359209,Get,73338042,200
345209917,Get,73860875,200
355394709,Get,79182375,200
353383125,Get,82751459,200
356670167,Get,79793916,200
356593334,Get,79657791,200
356512750,Get,79734334,200
353588750,Get,82602000,200
353506959,Get,84457584,200
354502459,Get,84154167,200
356800959,Get,81880250,200
357157500,Get,81833417,200
354424917,Get,84623375,200
356980334,Get,82622333,200
357798875,Get,82682042,200
366842209,Get,75093166,200
401346709,Get,73150584,200
400666000,Get,73836791,200
404890125,Get,70741083,200
401660625,Get,74911125,200
403977542,Get,73416875,200
407692875,Get,74748208,200
406508584,Get,76013375,200
406195417,Get,76301709,200
408710917,Get,73752375,200
407888959,Get,74757666,200
411919792,Get,71612625,200
409536709,Get,78095084,200
416196292,Get,71540500,200
416937459,Get,73620417,200
411121084,Get,79926083,200
418770167,Get,72232083,200
417349750,Get,73215750,200
419135209,Get,72869041,200
434709875,Get,73229042,200
436493417,Get,71596292,200
437025834,Get,72545750,200
436800250,Get,72777792,200
436585667,Get,74373958,200
436953834,Get,74498792,200
438072917,Get,74908916,200
438760625,Get,100931750,200
438828750,Get,101072208,200
439059750,Get,100879583,200
439823000,Get,100616083,200
439362542,Get,101229333,200
440544375,Get,100343417,200
443731500,Get,98616291,200
474757375,Get,84333333,200
475819125,Get,84066541,200
476660667,Get,82994208,200
474650917,Get,84832500,200
477476417,Get,84336833,200
483611125,Get,97166042,200
487905625,Get,97191416,200
509777792,Get,75379083,200
491427292,Get,94027458,200
491798084,Get,94111041,200
482617500,Get,103340333,200
508164084,Get,77827583,200
492107875,Get,97049292,200
482524959,Get,107799416,200
491665750,Get,98628917,200
482785209,Get,107500833,200
511041000,Get,78213667,200
482876917,Get,106372542,200
482697959,Get,106551459,200
491581292,Get,97575834,200
511531792,Get,79945417,200
508070875,Get,92736583,200
509688750,Get,91199959,200
487827417,Get,114283125,200
513385125,Get,93165125,200
560294209,Get,74926250,200
560214750,Get,75061167,200
560147209,Get,75094500,200
560016959,Get,75590916,200
541121750,Get,97702709,200
542630459,Get,98702500,200
540875334,Get,100650959,200
540063584,Get,101458750,200
561897292,Get,79532542,200
541250875,Get,100172625,200
540194792,Get,101177625,200
539876792,Get,102246250,200
581202792,Get,70154208,200
585291375,Get,70673459,200
585534709,Get,70818625,200
585975500,Get,71140791,200
585381959,Get,72349333,200
586043417,Get,72864916,200
586116709,Get,73374459,200
590511042,Get,81998541,200
590648834,Get,82102459,200
591571334,Get,87338333,200
591416042,Get,88765708,200
601018084,Get,79204917,200
591501834,Get,88894792,200
591336959,Get,88956875,200
601155084,Get,79341500,200
590412417,Get,90072583,200
591273334,Get,89269250,200
603047500,Get,78175500,200
606645834,Get,74688250,200
590331375,Get,91024166,200
635817417,Get,77320125,200
635536459,Get,77690833,200
635722542,Get,78115042,200
641575334,Get,76122708,200
638932375,Get,78807792,200
641661334,Get,77362542,200
635426250,Get,83644042,200
641721875,Get,77408500,200
651555792,Get,79951708,200
658966209,Get,72840875,200
643742459,Get,87846458,200
657790500,Get,73792416,200
656412917,Get,75163959,200
657166542,Get,74400167,200
643803375,Get,87754209,200
643865375,Get,87688000,200
659548000,Get,71998667,200
643561500,Get,87977417,200
656030959,Get,75505792,200
672817459,Get,72247292,200
672597375,Get,74699584,200
680774334,Get,73987125,200
680266709,Get,75903250,200
679061084,Get,77591792,200
680671125,Get,76415209,200
680538500,Get,76626833,200
680342917,Get,76872792,200
681950167,Get,76303167,200
680470250,Get,77844750,200
681610375,Get,77229333,200
680608209,Get,78899541,200
681301667,Get,79683750,200
713344125,Get,91659375,200
713903084,Get,91295708,200
717877667,Get,87405792,200
713418875,Get,91837834,200
719156709,Get,86443083,200
717799709,Get,88469209,200
719216167,Get,88498917,200
719091917,Get,90101000,200
733659500,Get,76123708,200
732054334,Get,78982958,200
732104250,Get,79494375,200
732158125,Get,80159583,200
731834250,Get,80873250,200
732396917,Get,81103209,200
731906084,Get,82212208,200
732913917,Get,81643708,200
731986500,Get,83284875,200
732345959,Get,83845000,200
732287375,Get,84942958,200
747711209,Get,76822083,200
745795500,Get,79296042,200
754860417,Get,71494958,200
756227750,Get,73440750,200
757134834,Get,72948291,200
756700500,Get,74107625,200
757306959,Get,73568500,200
757245625,Get,75148167,200
758314625,Get,74093792,200
759555084,Get,73270750,200
758933084,Get,74519583,200
758380084,Get,75112125,200
761040542,Get,73461458,200
805433625,Get,74435917,200
805343750,Get,77962375,200
805657250,Get,77745084,200
805074917,Get,78277625,200
805266334,Get,78179042,200
809885250,Get,74229042,200
812764959,Get,74980000,200
811653709,Get,76668125,200
813630917,Get,76550292,200
811101542,Get,79167500,200
812381084,Get,77830083,200
814866250,Get,75334292,200
806327000,Get,83868209,200
816266792,Get,73915500,200
814761042,Get,75569000,200
815333084,Get,74987333,200
807796709,Get,82519833,200
817299292,Get,73972500,200
809516875,Get,82264459,200
824607917,Get,71448875,200
825247625,Get,71565625,200
826415375,Get,70757500,200
830142542,Get,72179459,200
829753542,Get,73483292,200
832880042,Get,71039041,200
832627375,Get,71929250,200
832539959,Get,72763916,200
831335625,Get,76864250,200
831566875,Get,77275542,200
833518334,Get,75565334,200
833615917,Get,76477000,200
834745292,Get,75419916,200
880039334,Get,72953459,200
884432792,Get,73080792,200
883503084,Get,74463083,200
883601459,Get,74322334,200
883407709,Get,74991667,200
883752417,Get,74324666,200
887900209,Get,77153167,200
890690000,Get,74377542,200
891145209,Get,76948791,200
891848459,Get,76168875,200
896137042,Get,73208666,200
891358167,Get,75997791,200
891069000,Get,74653042,200
890904417,Get,75881625,200
891219875,Get,75526792,200
890989459,Get,75753500,200
890599875,Get,74943833,200
890637834,Get,74934250,200
888503375,Get,76602209,200
890730917,Get,74359041,200
897343709,Get,72436833,200
896875834,Get,72734209,200
902599292,Get,74920333,200
904857375,Get,72825167,200
903598167,Get,74075042,200
905381334,Get,74058584,200
904215542,Get,76338625,200
909061917,Get,75943917,200
910606084,Get,77231542,200
911694250,Get,79220083,200
908689334,Get,83538250,200
909150584,Get,83169833,200
958038459,Get,72478792,200
959620209,Get,71111958,200
954050125,Get,76653875,200
960321334,Get,75294917,200
969813834,Get,118518292,200
965563542,Get,122888500,200
969882125,Get,118551417,200
969937125,Get,118441250,200
969678709,Get,120605209,200
988115542,Get,107200541,200
969244917,Get,126057000,200
979513917,Get,114321792,200
969619542,Get,124096083,200
960642750,Get,132500208,200
969417750,Get,122806417,200
992320625,Get,99393333,200
977838334,Get,113011167,200
969550917,Get,121283417,200
970054417,Get,120772333,200
985354250,Get,105453750,200
969737834,Get,121062834,200
992378750,Get,98403750,200
977771500,Get,112558208,200
980651792,Get,109675250,200
960562334,Get,139714584,200
969481042,Get,126307292,200
969995834,Get,125665917,200
969330125,Get,126217667,200
970117959,Get,125304833,200
990992667,Get,114498083,200
977701292,Get,128641750,200
1030876500,Get,101010542,200
1030788250,Get,101422917,200
1035711959,Get,96998750,200
968716375,Get,165118875,200
1030948959,Get,103753709,200
1089224917,Get,81352041,200
1088908709,Get,81806000,200
1089119959,Get,82223083,200
1095775209,Get,76649917,200
1088506875,Get,84419167,200
1095838625,Get,77997917,200
1095374625,Get,78435458,200
1095566250,Get,78642042,200
1095631709,Get,79068292,200
1095686542,Get,79556542,200
1095733375,Get,80087000,200
1101584792,Get,85030291,200
1101479250,Get,85225000,200
1097599000,Get,91857292,200
1101855834,Get,89644291,200
1101294500,Get,90245542,200
1101396084,Get,90252709,200
1101518709,Get,90089792,200
1101100625,Get,90495875,200
1100401250,Get,91439167,200
1106395625,Get,85577917,200
1101439834,Get,90385083,200
1101707834,Get,90094959,200
1101623209,Get,90074208,200
1101670250,Get,91215042,200
