Start,Type,Latency,Code
77607792,Get,171401208,200
80607167,Get,168576375,200
76156625,Get,174102125,200
79692500,Get,170516459,200
78880459,Get,171292542,200
77965000,Get,172168417,200
76321375,Get,173771917,200
80837542,Get,169210666,200
80958084,Get,169050875,200
97900417,Get,152059625,200
80150334,Get,169783916,200
74187250,Get,177261000,200
73538584,Get,177985709,200
76093542,Get,175433292,200
79755917,Get,171896708,200
72221292,Get,179536125,200
78389625,Get,173405709,200
76042750,Get,175590417,200
79595834,Get,172020000,200
79836875,Get,172102500,200
79421625,Get,172480667,200
78759000,Get,173120875,200
80407042,Get,171428750,200
89265584,Get,162552416,200
80169250,Get,171607459,200
80525334,Get,171197916,200
76007292,Get,176415792,200
78697917,Get,173016291,200
81275292,Get,170431875,200
85605875,Get,166851291,200
76143042,Get,176261208,200
77667459,Get,174722084,200
77877542,Get,174491875,200
76172709,Get,176178750,200
79343500,Get,172991000,200
76059667,Get,176242000,200
73965584,Get,179930750,200
76120750,Get,177804125,200
75943667,Get,178033125,200
77322375,Get,176721792,200
118453084,Get,136635834,200
74350750,Get,180752583,200
80293959,Get,178864958,200
122253292,Get,141150666,200
123556459,Get,142992500,200
137559334,Get,131118958,200
137647042,Get,133468333,200
137565292,Get,133607875,200
137565417,Get,133667167,200
139061959,Get,132210708,200
138970917,Get,132371375,200
136286709,Get,137072458,200
139211125,Get,134179291,200
137505875,Get,135927166,200
136495834,Get,136987792,200
135151250,Get,138498542,200
134722709,Get,138974209,200
137697417,Get,138811125,200
138365834,Get,138166542,200
137786292,Get,138789833,200
137836084,Get,138712875,200
137506834,Get,139115417,200
138922875,Get,137678917,200
137785209,Get,138907541,200
139134042,Get,137527625,200
137668084,Get,139074125,200
137798209,Get,138922291,200
137690500,Get,143749875,200
138900417,Get,142566750,200
137599667,Get,143857458,200
139478834,Get,143527333,200
138043959,Get,145004417,200
145320167,Get,137763666,200
155162084,Get,130581375,200
156736334,Get,131764875,200
146162375,Get,143534167,200
156607459,Get,135387167,200
166081834,Get,128317125,200
164574959,Get,129862416,200
156050459,Get,138431042,200
166847417,Get,130749291,200
164577792,Get,135620792,200
165710125,Get,134548917,200
167021125,Get,133266000,200
165518084,Get,134846291,200
165783417,Get,134634625,200
166360667,Get,134095875,200
165776167,Get,134748833,200
164557000,Get,136007542,200
163391625,Get,137215542,200
166417625,Get,134239834,200
165996875,Get,134779167,200
164678750,Get,136147667,200
146831375,Get,155556208,200
164607334,Get,137816666,200
165536084,Get,136867041,200
165835084,Get,136667125,200
164552792,Get,137888667,200
166195250,Get,136349959,200
164689375,Get,137916750,200
165569459,Get,137016166,200
166103917,Get,138187458,200
163391125,Get,140946792,200
165717292,Get,138658000,200
164693375,Get,139714542,200
166107542,Get,138205750,200
167115167,Get,137316750,200
156058500,Get,148298417,200
164607542,Get,141930708,200
165943500,Get,140628292,200
165797417,Get,140821000,200
163391625,Get,143228125,200
165943250,Get,140721292,200
157566417,Get,149181917,200
166076500,Get,140718375,200
163446084,Get,143456750,200
165956542,Get,140986834,200
164554834,Get,142435292,200
165860417,Get,141169958,200
167202250,Get,139899000,200
165709834,Get,141439708,200
