Start,Type,Latency,Code
111697250,Get,184268542,200
131167459,Get,167448000,200
115713750,Get,183395750,200
113770792,Get,184767750,200
128918959,Get,169410334,200
136486792,Get,161020583,200
121727625,Get,175741333,200
121999417,Get,175229250,200
128864625,Get,168323542,200
115663625,Get,181500750,200
120101250,Get,177009000,200
119628584,Get,177462125,200
128609042,Get,168478375,200
120682667,Get,176373541,200
128712542,Get,168332833,200
121738334,Get,175293458,200
111905250,Get,185093667,200
127166042,Get,169798459,200
115794792,Get,181137166,200
116791959,Get,180096584,200
114307834,Get,182583042,200
116581709,Get,180270417,200
128893334,Get,167945333,200
120632084,Get,176160417,200
116661750,Get,180036083,200
112057084,Get,188106042,200
116738750,Get,179915042,200
120392584,Get,179960959,200
127738417,Get,168716083,200
115501250,Get,184833584,200
124194875,Get,176106917,200
113662584,Get,186618042,200
120662625,Get,179594834,200
120933875,Get,179299000,200
113834834,Get,186380542,200
128641625,Get,171533208,200
120429625,Get,179698125,200
116452209,Get,182475333,200
113912000,Get,186888375,200
121011125,Get,181153875,200
112134500,Get,191273834,200
113141375,Get,190961125,200
112958500,Get,192700708,200
112129625,Get,193821292,200
117049709,Get,188913334,200
120201750,Get,186627000,200
116614875,Get,190281000,200
124659834,Get,182333250,200
115708792,Get,191454542,200
116949917,Get,190220375,200
121052209,Get,186316709,200
120242250,Get,187303667,200
113259834,Get,195464084,200
133189417,Get,175850209,200
111779542,Get,197432708,200
113440542,Get,195929041,200
120769167,Get,188760000,200
119964584,Get,189600792,200
124187250,Get,185549500,200
121295917,Get,189993250,200
120273750,Get,191455000,200
113704667,Get,198268625,200
113586292,Get,198539542,200
120070750,Get,192656833,200
300570375,Get,100135917,200
299187125,Get,103529708,200
299202292,Get,103569625,200
300618542,Get,102174375,200
299646375,Get,103210583,200
299443542,Get,105111875,200
299385000,Get,106533208,200
311331375,Get,102450458,200
299937917,Get,113904833,200
299734542,Get,115013708,200
307408875,Get,109770125,200
312168625,Get,105048208,200
299486292,Get,117774666,200
299819500,Get,117374292,200
300092792,Get,117217667,200
307053667,Get,110223916,200
312764459,Get,105478209,200
312005792,Get,106268542,200
302207000,Get,116120208,200
307243750,Get,111129458,200
300775625,Get,117613542,200
300352875,Get,120280792,200
309253292,Get,111427250,200
309781875,Get,110938709,200
299609834,Get,121051791,200
299261459,Get,121534583,200
300136625,Get,120624417,200
306933959,Get,113803500,200
303448417,Get,117476958,200
309594084,Get,111301084,200
300011292,Get,121038125,200
307196334,Get,113667500,200
305987667,Get,114854500,200
300928959,Get,119886875,200
309400459,Get,111706500,200
300060584,Get,121022917,200
300051667,Get,121013875,200
300862125,Get,120174584,200
299534750,Get,121475625,200
300203500,Get,122700083,200
300822875,Get,122126584,200
299689584,Get,123294041,200
299853250,Get,123070375,200
308825792,Get,114247458,200
305694542,Get,117350125,200
299976667,Get,123038208,200
308762875,Get,114432583,200
300445834,Get,122722875,200
309563167,Get,113577250,200
311769667,Get,111339208,200
309084125,Get,114206834,200
299573709,Get,123676416,200
299785000,Get,123447750,200
304144959,Get,120659834,200
306860209,Get,117976291,200
300710125,Get,124170833,200
306027834,Get,118793417,200
300527084,Get,124426333,200
307575000,Get,117360625,200
299306709,Get,125620958,200
300404459,Get,124510042,200
300982667,Get,123882625,200
299890125,Get,125125542,200
300488167,Get,124514500,200
402784625,Get,74984791,200
404603375,Get,76085583,200
413906209,Get,66850042,200
402847209,Get,77874291,200
414787792,Get,68194625,200
405959542,Get,77050833,200
413857667,Get,69214917,200
402981417,Get,80195250,200
400896959,Get,82358417,200
402916542,Get,80488041,200
418360459,Get,65121875,200
418314709,Get,66945750,200
417263959,Get,68031584,200
418363709,Get,66931250,200
417351209,Get,67995042,200
417220125,Get,68110916,200
417314750,Get,68001500,200
420811792,Get,66751334,200
418416625,Get,69186292,200
417436959,Get,70146750,200
421305292,Get,66440916,200
421339667,Get,66378458,200
421270625,Get,66424208,200
418448750,Get,69227208,200
420720959,Get,66931625,200
420929500,Get,66705292,200
421181625,Get,66447334,200
420677625,Get,66926833,200
417386250,Get,70217458,200
