Start,Type,Latency,Code
152779083,Get,134824083,200
139658833,Get,148242167,200
148289875,Get,139586542,200
145450042,Get,142371083,200
162530500,Get,137586000,200
162755125,Get,138765083,200
157052250,Get,144312125,200
164138042,Get,137181083,200
163811917,Get,137451792,200
162107083,Get,139051042,200
152814458,Get,148262000,200
161119000,Get,139928833,200
145661125,Get,155359666,200
140024458,Get,160638709,200
148176958,Get,152454959,200
157342208,Get,143269709,200
162438583,Get,138043333,200
162335375,Get,138092167,200
164577750,Get,135736917,200
143496833,Get,156645542,200
163089083,Get,151997250,200
163024542,Get,152140292,200
157480250,Get,157666875,200
162341708,Get,152750083,200
157448042,Get,161608042,200
162940083,Get,156500792,200
162417333,Get,159296125,200
164664292,Get,157399625,200
162382500,Get,159702041,200
164553333,Get,158696833,200
162037583,Get,165855375,200
158822667,Get,169082666,200
289454125,Get,75654000,200
289998917,Get,75993375,200
289872375,Get,76313875,200
290104917,Get,76236375,200
303024292,Get,81945084,200
302283792,Get,82745083,200
303117667,Get,81876292,200
302508625,Get,82586625,200
302629708,Get,84465500,200
315884500,Get,71262167,200
301834833,Get,86266375,200
301680583,Get,86607416,200
303374667,Get,84866125,200
315950875,Get,72244042,200
302374375,Get,85779875,200
303536000,Get,89593000,200
322199250,Get,71176958,200
302731792,Get,90466583,200
315800333,Get,77645500,200
316749250,Get,77112666,200
303215167,Get,90940416,200
302915375,Get,91235208,200
321830792,Get,72281917,200
319547708,Get,75524958,200
302816917,Get,91844500,200
323334125,Get,71291000,200
322284542,Get,72015834,200
303298875,Get,90990291,200
319145833,Get,75140584,200
301984125,Get,92254750,200
328074583,Get,73415208,200
328150250,Get,72586917,200
366285208,Get,65757542,200
365231333,Get,66811291,200
366595333,Get,67070292,200
366119042,Get,69889375,200
385163958,Get,64437500,200
385259500,Get,67486166,200
385497375,Get,68236916,200
385070958,Get,69741542,200
387189917,Get,72014250,200
389123708,Get,76820875,200
388898750,Get,77124042,200
388808375,Get,77193958,200
388361333,Get,77783750,200
387284917,Get,78859875,200
393575167,Get,72481125,200
395418042,Get,76742833,200
393413458,Get,79231709,200
401210458,Get,72626000,200
401805917,Get,71398458,200
401290083,Get,71809167,200
394072125,Get,78802000,200
401740292,Get,71104417,200
401599292,Get,73195625,200
401513125,Get,73157084,200
395543625,Get,78856500,200
395636375,Get,78738875,200
401415917,Get,72949042,200
400780667,Get,73574250,200
389027000,Get,85300042,200
393490792,Get,84089292,200
394158333,Get,83590375,200
401678750,Get,76399625,200
436119208,Get,70646833,200
433008625,Get,73968583,200
432915417,Get,73994291,200
433742083,Get,73082084,200
449724208,Get,63707500,200
452825458,Get,66671875,200
453811125,Get,66869000,200
454879708,Get,67912708,200
459277500,Get,70030000,200
466468708,Get,63874333,200
466111875,Get,67690667,200
466201875,Get,67621041,200
466028375,Get,67782166,200
466391250,Get,69016458,200
466304625,Get,69025541,200
472701292,Get,68471792,200
474781167,Get,70513458,200
475023458,Get,70334917,200
474493458,Get,70833125,200
474842583,Get,70710208,200
473899250,Get,71620084,200
476289958,Get,69223625,200
474939250,Get,70554583,200
475115083,Get,70317000,200
474604667,Get,71054334,200
474696958,Get,75515417,200
477977833,Get,72452167,200
476549167,Get,73780584,200
478153000,Get,72138375,200
476370292,Get,73904959,200
476471375,Get,73768166,200
478053250,Get,75275541,200
507152708,Get,71341833,200
508037250,Get,70779125,200
507509750,Get,71117083,200
513587917,Get,64927958,200
507001583,Get,71493000,200
519976125,Get,69384375,200
520866375,Get,68686541,200
522863583,Get,68814500,200
530418917,Get,64896333,200
529627625,Get,69902917,200
534224792,Get,68508875,200
536033042,Get,66772167,200
535626833,Get,67199541,200
536131125,Get,71159958,200
536268042,Get,71153083,200
541312167,Get,69695083,200
545383083,Get,69983292,200
545548583,Get,69818834,200
545756750,Get,71694042,200
545822042,Get,71686291,200
545693542,Get,71799250,200
545880708,Get,71605708,200
545926750,Get,71540708,200
545621208,Get,71833708,200
545450000,Get,72100958,200
550518167,Get,74181708,200
550882750,Get,73925042,200
550617500,Get,80409458,200
550943083,Get,80303375,200
553400125,Get,77816291,200
551005458,Get,80080667,200
550441417,Get,80624500,200
579207417,Get,98074625,200
589604917,Get,89149291,200
602945417,Get,75766042,200
607584333,Get,70943209,200
579362250,Get,98708083,200
579084417,Get,98763959,200
599658792,Get,78092375,200
579286833,Get,98444625,200
602801083,Get,74759750,200
591779042,Get,85622750,200
602878167,Get,76375541,200
611143292,Get,68100209,200
589548667,Get,89507250,200
579157708,Get,99731750,200
607521708,Get,71335417,200
